Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
46,-9.953777,116.0,5.0611024,prod1,15.01,11.03,3.43,-1.04,0.55,-0.61,0.92,-0.21,0.17,0.07,-0.04,-0.83,-0.4,0.43,-0.28,0.57,0.41,-1.1,-0.36,-0.5,0.31,-0.0,-0.01,0.46,0.13,-0.4,-0.57,-0.53,0.31,-0.06,0.0,-0.44,-0.05,0.39,0.08,-0.12,-0.27,-0.22,-0.25,-0.22,-0.01,-0.02,-0.1,-0.21,-0.1,-0.0
47,-8.886342,116.0,6.2313666,prod1,15.12,9.73,3.53,-0.85,0.45,-0.93,1.07,-0.23,0.36,0.35,-0.26,-0.97,-0.37,-0.3,-0.42,0.1,0.68,-0.36,-0.64,-0.54,-0.05,-0.03,0.07,0.28,0.53,-0.16,-0.54,-0.06,-0.14,-0.2,-0.27,-0.26,-0.04,0.38,0.08,-0.07,0.0,0.28,-0.19,0.01,-0.05,0.14,-0.09,0.08,-0.05,0.01
48,-9.254228,120.0,-25.637377,prod1,-16.38,10.77,3.86,-0.93,0.49,-0.88,0.92,-0.02,-0.1,0.47,-0.02,-1.13,-0.55,0.38,-0.65,0.06,-0.05,-1.12,-0.47,0.07,0.12,0.12,0.48,-0.12,0.46,-0.37,-0.33,0.04,0.2,-0.23,-0.17,-0.21,0.01,0.03,0.14,0.1,0.08,-0.02,-0.17,0.24,0.06,0.01,-0.06,-0.07,0.08,-0.11
49,-9.939235,120.0,-25.230206,prod1,-15.29,11.26,3.78,-0.95,0.33,-0.93,0.51,0.04,-0.02,0.11,0.08,-1.03,-0.45,0.5,-0.56,-0.06,0.43,-0.64,-1.1,-0.07,0.47,0.13,-0.11,-0.29,0.56,-0.25,-0.5,-0.31,-0.14,-0.13,-0.31,-0.23,-0.01,0.45,0.08,-0.16,0.33,-0.29,-0.1,-0.17,0.02,-0.17,-0.17,0.03,-0.02,0.07
50,-9.891224,120.0,-25.870617,prod1,-15.98,10.75,3.75,-1.01,0.13,-0.92,0.62,0.37,0.15,0.13,-0.32,-1.25,-0.37,-0.04,-0.59,0.01,0.75,-0.58,-0.74,-0.27,-0.14,-0.4,0.25,0.32,0.5,-0.64,-0.53,-0.25,0.0,-0.25,-0.25,-0.12,0.27,0.39,0.01,-0.1,0.16,0.16,0.07,0.07,0.02,-0.08,-0.27,-0.07,0.02,0.0
51,-9.254312,174.0,-17.96824,prod1,-8.71,10.73,4.35,-0.9,0.68,-1.1,0.86,-0.06,0.55,0.53,-0.22,-1.34,-0.7,0.39,-1.08,0.27,0.29,-0.58,-0.71,-0.13,0.45,-0.52,0.92,0.16,0.72,-0.59,-0.66,-0.32,-0.09,-0.31,0.05,-0.11,-0.04,0.06,0.0,0.18,0.21,0.04,0.18,-0.02,0.05,-0.19,-0.13,0.15,-0.11,0.01
52,-9.203191,120.0,-25.802425,prod1,-16.6,11.41,3.94,-1.09,0.71,-0.93,0.86,-0.05,-0.0,0.44,-0.28,-1.0,-0.48,0.57,-0.34,-0.33,0.8,-0.62,-0.72,-0.09,0.06,-0.26,0.67,0.13,0.8,-0.0,-0.71,-0.07,0.44,-0.23,-0.42,-0.77,0.0,0.43,-0.02,-0.05,0.15,-0.08,0.02,-0.32,0.14,0.09,0.11,0.08,-0.06,0.07
53,-9.264417,174.0,-23.097675,prod1,-13.83,9.14,3.85,-0.98,0.54,-0.62,0.64,-0.04,0.34,0.21,-0.63,-0.91,-0.57,-0.26,-0.78,0.46,0.63,-0.37,-0.72,0.22,0.08,-0.39,0.15,0.18,0.06,-0.38,-0.65,-0.03,-0.04,0.23,-0.5,-0.22,-0.22,0.6,0.24,0.3,-0.02,-0.24,-0.07,-0.12,0.06,0.09,-0.4,0.1,0.08,-0.06
54,-9.420318,120.0,-23.922766,prod1,-14.5,11.97,3.5,-1.12,0.21,-0.73,0.53,0.14,0.06,-0.06,-0.71,-0.71,-0.52,-0.4,-0.22,0.21,0.72,-0.33,-0.21,0.06,0.14,0.17,0.59,-0.41,0.21,-0.58,-0.45,-0.12,0.21,-0.15,-0.19,0.11,0.12,0.19,-0.22,-0.26,0.2,-0.32,-0.15,-0.11,-0.03,0.19,-0.16,-0.02,-0.07,-0.0
55,-9.199408,120.0,-23.918335,prod1,-14.72,11.21,3.68,-1.12,0.18,-0.51,1.02,0.61,0.67,-0.24,-0.04,-0.65,-0.1,0.41,-0.49,0.47,1.11,-0.4,-0.73,-0.07,-0.64,-0.1,-0.14,0.4,0.28,-0.43,-0.67,0.08,0.26,0.47,-0.04,-0.47,-0.11,0.39,-0.05,-0.25,0.39,-0.01,0.19,-0.03,-0.03,0.24,-0.19,-0.06,-0.03,-0.02
