Frame,Z_coord_n1,na_res,Z_coord_na,prod,na_z,NQRD26-NQRE115,NQRD107-NQRE23,tIC1,tIC2,tIC3,tIC4,tIC5,tIC6,tIC7,tIC8,tIC9,tIC10,tIC11,tIC12,tIC13,tIC14,tIC15,tIC16,tIC17,tIC18,tIC19,tIC20,tIC21,tIC22,tIC23,tIC24,tIC25,tIC26,tIC27,tIC28,tIC29,tIC30,tIC31,tIC32,tIC33,tIC34,tIC35,tIC36,tIC37,tIC38,tIC39,tIC40,tIC41,tIC42,tIC43
43,none,none,none,,none,3.86,6.17,1.2,-1.07,-0.55,1.61,0.02,0.74,0.35,-0.94,0.46,-0.09,0.12,-0.02,0.17,-0.18,0.43,-0.2,0.25,-0.1,0.02,-0.34,0.25,0.16,-0.6,0.35,-0.19,-1.09,0.08,-0.07,-0.1,0.39,-0.47,0.16,-0.15,0.07,0.21,-0.04,-0.2,0.34,0.14,0.0,0.06,-0.1,0.09
44,-6.647521,231.0,12.68152,prod1,19.33,4.77,5.25,1.1,-1.22,-0.36,1.29,0.55,1.28,-0.1,-0.29,-0.4,-0.05,0.43,0.67,-0.29,0.54,0.51,-0.64,0.04,-0.45,0.18,-0.88,-0.33,-0.2,-0.27,-0.24,-0.15,-0.24,0.3,-0.21,-0.05,-0.32,-0.47,0.02,-0.36,-0.16,0.2,-0.32,-0.13,-0.03,-0.09,0.19,-0.12,-0.04,0.11
45,-6.531025,231.0,7.000489,prod1,13.53,4.16,7.48,1.26,-1.05,-0.36,1.16,0.07,1.14,0.02,-1.37,0.27,-0.18,0.51,-0.02,0.1,0.11,0.48,-0.13,1.27,-0.46,0.22,0.08,-0.22,0.06,-0.16,0.19,-0.21,-0.4,-0.22,-0.04,-0.47,0.01,-0.15,0.29,-0.28,-0.04,-0.17,-0.06,-0.05,-0.03,-0.3,-0.21,-0.34,0.03,-0.05
46,-6.1213207,231.0,2.384873,prod1,8.51,5.1,6.82,1.25,-1.23,-0.33,0.87,0.76,2.15,0.62,-1.72,-1.06,-0.24,0.36,0.98,1.1,-0.21,0.64,-0.78,0.81,-0.76,0.25,-0.34,-0.55,-0.39,-0.74,-0.08,-0.46,-0.34,-0.07,0.1,-0.33,0.08,-0.19,-0.08,-0.42,-0.16,0.04,-0.22,-0.09,0.08,-0.18,-0.03,-0.11,-0.01,-0.22
47,-6.6030483,231.0,2.0950222,prod1,8.7,5.02,7.59,1.26,-0.78,-0.63,1.24,-0.05,1.25,-0.19,-1.5,0.1,-0.69,0.52,0.16,0.36,0.37,0.72,-0.51,1.05,-0.85,-0.28,-0.6,-0.02,-0.25,0.04,-0.32,-0.4,0.04,-0.59,-0.03,-0.51,-0.4,-0.49,0.25,-0.08,0.06,-0.16,0.47,0.14,0.62,-0.15,0.41,-0.44,-0.22,0.02
48,-7.0014615,231.0,2.2573197,prod1,9.26,4.52,7.6,1.21,-1.15,-0.12,0.97,0.77,1.82,-0.21,-1.73,-0.29,-0.55,0.57,0.57,0.86,0.03,0.71,-0.3,1.15,-0.5,0.43,-0.18,-0.09,-0.21,-0.15,0.09,-0.03,-0.47,0.27,0.51,-0.55,0.03,-0.22,-0.01,-0.31,-0.13,0.2,0.02,-0.11,-0.09,-0.05,0.04,-0.26,-0.03,0.09
49,-6.990674,231.0,3.6868496,prod1,10.68,6.88,6.55,1.13,-0.89,-0.53,1.42,-0.14,0.97,0.41,-0.08,-0.56,-0.18,0.09,-0.16,0.66,-0.1,0.12,0.09,0.84,-0.01,0.92,-0.13,-0.36,-0.71,-0.63,0.4,-0.22,-0.32,-0.38,0.48,-0.46,0.06,-0.01,-0.23,-0.39,0.23,-0.26,-0.19,-0.17,0.22,-0.23,-0.06,-0.23,-0.16,-0.07
50,-6.489837,231.0,5.915128,prod1,12.4,6.93,6.93,0.99,-1.09,-0.23,1.13,0.08,0.69,0.09,-1.02,-0.78,-0.31,0.06,0.35,0.9,0.56,0.28,0.43,1.09,0.1,0.38,-0.21,-0.95,0.17,-0.57,0.61,-0.6,-0.41,-0.06,0.58,-0.53,0.33,-0.44,-0.28,-0.39,0.32,0.21,0.18,-0.09,0.25,0.09,0.05,-0.12,-0.12,-0.21
51,-7.4468517,231.0,3.0039477,prod1,10.45,6.47,6.51,1.1,-1.33,-0.39,1.24,0.07,1.18,0.34,-1.9,-0.38,-0.74,0.41,0.09,0.84,0.21,0.5,-0.22,0.63,0.02,0.21,-0.28,-0.92,-0.03,-0.57,0.65,-0.65,-0.31,-0.34,0.42,-0.06,-0.3,-0.11,-0.27,-0.46,-0.06,0.01,-0.15,-0.14,0.2,0.03,0.04,-0.12,-0.01,-0.11
52,-6.942466,231.0,2.6591096,prod1,9.6,5.41,7.14,1.06,-1.1,-0.23,1.45,-0.51,0.98,0.4,-0.88,0.13,-0.57,-0.34,-0.59,-0.28,-0.46,0.54,0.11,1.17,0.63,-0.24,-0.13,-0.82,0.04,0.07,-0.0,-0.36,0.12,-0.07,-0.06,-0.46,0.4,-0.34,-0.26,-0.12,0.38,0.25,-0.04,-0.18,0.24,-0.17,0.25,-0.1,0.02,-0.04
53,-6.4056892,231.0,2.556382,prod1,8.96,4.28,6.71,1.06,-1.38,-0.19,1.25,0.1,1.04,0.56,-0.48,-0.21,-0.66,-1.01,-0.5,0.16,-0.3,-0.07,0.24,1.17,-0.01,0.06,-0.56,-0.34,-0.4,-0.11,0.01,-0.04,-0.24,-0.14,-0.31,-0.8,-0.18,-0.12,0.2,-0.34,-0.01,0.23,-0.18,-0.3,0.19,0.12,-0.23,0.22,-0.18,0.02
54,-6.0474825,231.0,2.4674048,prod1,8.51,5.76,6.51,0.98,-1.27,-0.12,1.08,0.2,1.22,0.16,-0.42,-0.4,-0.83,-0.18,0.27,1.13,-0.09,0.4,0.1,0.64,0.2,0.16,-0.68,-0.1,-0.54,-0.16,0.06,-0.07,-0.37,-0.05,-0.01,-0.25,0.09,-0.21,-0.15,-0.5,0.37,0.13,-0.06,-0.26,0.22,-0.29,0.17,-0.11,0.09,-0.01
